Item,LowLevelCode,SourceType,ReleasePeriod,DuePeriod,Quantity,LeadTime,LotSizeRule,LateRelease,Supplier
DRIVE-14S,1,M,4,5,163.636,1,Lot-for-Lot,False,-
DRIVE-21S,1,M,4,5,120.505,1,Lot-for-Lot,False,-
DRIVE-SS,1,M,4,5,910.0,1,EOQ (910 units),False,-
FRAME-MTB,1,M,4,6,182.828,2,Lot-for-Lot,False,-
FRAME-ROAD,1,M,4,6,145.455,2,Lot-for-Lot,False,-
WHEEL-20,1,M,4,5,630.0,1,FOQ (630 units),False,-
WHEEL-26,1,M,4,5,221.01,1,Lot-for-Lot,False,-
WHEEL-700C,1,M,4,5,327.273,1,Lot-for-Lot,False,-
DERAILLEUR,2,P,4,9,910.0,5,FOQ (910 units),False,SUP-06
RIM-20,2,P,4,6,800.0,2,FOQ (800 units),False,SUP-03
RIM-700C,2,P,4,7,620.0,3,FOQ (620 units),False,SUP-03
SPOKE,2,P,4,6,87000.0,2,"FOQ (87,000 units)",False,SUP-04
TUBESET-KIDS,2,M,4,5,320.0,1,FOQ (320 units),False,-
TUBESET-MTB,2,M,4,5,155.879,1,Lot-for-Lot,False,-
TUBESET-ROAD,2,M,4,5,135.024,1,Lot-for-Lot,False,-
ALU-TUBE-STK,3,P,4,8,4300.0,4,"FOQ (4,300 units)",False,SUP-07
STL-TUBE-STK,3,P,4,7,1750.0,3,"FOQ (1,750 units)",False,SUP-07
BIKE-KIDS,0,M,5,6,310.0,1,FOQ (310 units),False,-
BIKE-MTB,0,M,5,6,181.0,1,Lot-for-Lot,False,-
BIKE-ROAD,0,M,5,6,162.0,1,Lot-for-Lot,False,-
BRAKE-DISC,1,P,5,8,450.0,3,FOQ (450 units),False,SUP-01
BRAKE-RIM,1,P,5,7,700.0,2,FOQ (700 units),False,SUP-01
DRIVE-14S,1,M,5,6,145.455,1,Lot-for-Lot,False,-
DRIVE-21S,1,M,5,6,182.828,1,Lot-for-Lot,False,-
FRAME-KIDS,1,M,5,7,320.0,2,FOQ (320 units),False,-
FRAME-MTB,1,M,5,7,182.828,2,Lot-for-Lot,False,-
FRAME-ROAD,1,M,5,7,132.323,2,Lot-for-Lot,False,-
WHEEL-26,1,M,5,6,365.657,1,Lot-for-Lot,False,-
WHEEL-700C,1,M,5,6,290.909,1,Lot-for-Lot,False,-
CRANKSET,2,P,5,8,1150.0,3,"FOQ (1,150 units)",False,SUP-02
TUBESET-MTB,2,M,5,6,186.559,1,Lot-for-Lot,False,-
TUBESET-ROAD,2,M,5,6,122.655,1,Lot-for-Lot,False,-
TYRE-26,2,P,5,9,910.0,4,FOQ (910 units),False,SUP-05
BIKE-MTB,0,M,6,7,181.0,1,Lot-for-Lot,False,-
BIKE-ROAD,0,M,6,7,144.0,1,Lot-for-Lot,False,-
DRIVE-14S,1,M,6,7,132.323,1,Lot-for-Lot,False,-
DRIVE-21S,1,M,6,7,182.828,1,Lot-for-Lot,False,-
FRAME-MTB,1,M,6,8,182.828,2,Lot-for-Lot,False,-
FRAME-ROAD,1,M,6,8,120.202,2,Lot-for-Lot,False,-
WHEEL-20,1,M,6,7,630.0,1,FOQ (630 units),False,-
WHEEL-26,1,M,6,7,365.657,1,Lot-for-Lot,False,-
WHEEL-700C,1,M,6,7,264.646,1,Lot-for-Lot,False,-
CRANKSET,2,P,6,9,1150.0,3,"FOQ (1,150 units)",False,SUP-02
RIM-26,2,P,6,9,910.0,3,FOQ (910 units),False,SUP-03
TUBESET-MTB,2,M,6,7,186.559,1,Lot-for-Lot,False,-
TUBESET-ROAD,2,M,6,7,111.317,1,Lot-for-Lot,False,-
TYRE-20,2,P,6,9,800.0,3,FOQ (800 units),False,SUP-05
TYRE-700C,2,P,6,10,620.0,4,FOQ (620 units),False,SUP-05
BIKE-KIDS,0,M,7,8,310.0,1,FOQ (310 units),False,-
BIKE-MTB,0,M,7,8,181.0,1,Lot-for-Lot,False,-
BIKE-ROAD,0,M,7,8,131.0,1,Lot-for-Lot,False,-
BRAKE-DISC,1,P,7,10,450.0,3,FOQ (450 units),False,SUP-01
DRIVE-14S,1,M,7,8,120.202,1,Lot-for-Lot,False,-
DRIVE-21S,1,M,7,8,182.828,1,Lot-for-Lot,False,-
FRAME-MTB,1,M,7,9,182.828,2,Lot-for-Lot,False,-
FRAME-ROAD,1,M,7,9,109.091,2,Lot-for-Lot,False,-
WHEEL-26,1,M,7,8,365.657,1,Lot-for-Lot,False,-
WHEEL-700C,1,M,7,8,240.404,1,Lot-for-Lot,False,-
RIM-20,2,P,7,9,800.0,2,FOQ (800 units),False,SUP-03
RIM-700C,2,P,7,10,620.0,3,FOQ (620 units),False,SUP-03
SPOKE,2,P,7,9,87000.0,2,"FOQ (87,000 units)",False,SUP-04
TUBESET-KIDS,2,M,7,8,320.0,1,FOQ (320 units),False,-
TUBESET-MTB,2,M,7,8,186.559,1,Lot-for-Lot,False,-
TUBESET-ROAD,2,M,7,8,103.072,1,Lot-for-Lot,False,-
BIKE-MTB,0,M,8,9,181.0,1,Lot-for-Lot,False,-
BIKE-ROAD,0,M,8,9,119.0,1,Lot-for-Lot,False,-
BRAKE-RIM,1,P,8,10,700.0,2,FOQ (700 units),False,SUP-01
DRIVE-14S,1,M,8,9,109.091,1,Lot-for-Lot,False,-
DRIVE-21S,1,M,8,9,182.828,1,Lot-for-Lot,False,-
FRAME-KIDS,1,M,8,10,320.0,2,FOQ (320 units),False,-
FRAME-MTB,1,M,8,10,182.828,2,Lot-for-Lot,False,-
FRAME-ROAD,1,M,8,10,101.01,2,Lot-for-Lot,False,-
WHEEL-26,1,M,8,9,365.657,1,Lot-for-Lot,False,-
WHEEL-700C,1,M,8,9,218.182,1,Lot-for-Lot,False,-
TUBESET-MTB,2,M,8,9,186.559,1,Lot-for-Lot,False,-
TUBESET-ROAD,2,M,8,9,111.317,1,Lot-for-Lot,False,-
BIKE-MTB,0,M,9,10,181.0,1,Lot-for-Lot,False,-
BIKE-ROAD,0,M,9,10,108.0,1,Lot-for-Lot,False,-
DRIVE-14S,1,M,9,10,101.01,1,Lot-for-Lot,False,-
DRIVE-21S,1,M,9,10,182.828,1,Lot-for-Lot,False,-
DRIVE-SS,1,M,9,10,910.0,1,EOQ (910 units),False,-
FRAME-MTB,1,M,9,11,182.828,2,Lot-for-Lot,False,-
FRAME-ROAD,1,M,9,11,109.091,2,Lot-for-Lot,False,-
SADDLE-ASSY,1,P,9,11,2669.0,2,"EOQ (2,669 units)",False,SUP-02
WHEEL-20,1,M,9,10,630.0,1,FOQ (630 units),False,-
WHEEL-26,1,M,9,10,365.657,1,Lot-for-Lot,False,-
WHEEL-700C,1,M,9,10,202.02,1,Lot-for-Lot,False,-
BIKE-KIDS,0,M,10,11,310.0,1,FOQ (310 units),False,-
BIKE-MTB,0,M,10,11,181.0,1,Lot-for-Lot,False,-
BIKE-ROAD,0,M,10,11,100.0,1,Lot-for-Lot,False,-
DRIVE-14S,1,M,10,11,109.091,1,Lot-for-Lot,False,-
DRIVE-21S,1,M,10,11,182.828,1,Lot-for-Lot,False,-
WHEEL-26,1,M,10,11,365.657,1,Lot-for-Lot,False,-
WHEEL-700C,1,M,10,11,218.182,1,Lot-for-Lot,False,-
BIKE-MTB,0,M,11,12,181.0,1,Lot-for-Lot,False,-
BIKE-ROAD,0,M,11,12,108.0,1,Lot-for-Lot,False,-
