Item,Period,Opening,Receipts,Demand,Closing,OnOrder,SafetyStock,ReorderPoint,OrderPlaced,BelowSafety,Stockout
FRAME-MTB,11,270.34,182.83,182.83,270.34,365.66,270.0,636.0,182.83,False,False
FRAME-MTB,12,270.34,182.83,182.83,270.34,365.66,270.0,636.0,182.83,False,False
FRAME-ROAD,1,180.0,0.0,124.24,55.76,378.24,170.0,434.0,378.24,True,False
FRAME-ROAD,2,55.76,0.0,124.24,-68.48,502.48,170.0,434.0,124.24,True,True
FRAME-ROAD,3,-68.48,378.24,143.43,166.33,267.67,170.0,434.0,143.43,True,False
FRAME-ROAD,4,166.33,124.24,162.63,127.94,306.06,170.0,434.0,162.63,True,False
FRAME-ROAD,5,127.94,143.43,165.66,105.71,328.29,170.0,434.0,165.66,True,False
FRAME-ROAD,6,105.71,162.63,163.64,104.7,329.3,170.0,434.0,163.64,True,False
FRAME-ROAD,7,104.7,165.66,145.45,124.91,309.09,170.0,434.0,145.45,True,False
FRAME-ROAD,8,124.91,163.64,132.32,156.23,277.77,170.0,434.0,132.32,True,False
FRAME-ROAD,9,156.23,145.45,120.2,181.48,252.52,170.0,434.0,120.2,False,False
FRAME-ROAD,10,181.48,132.32,109.09,204.71,229.29,170.0,434.0,109.09,False,False
FRAME-ROAD,11,204.71,120.2,101.01,223.9,210.1,170.0,434.0,101.01,False,False
FRAME-ROAD,12,223.9,109.09,109.09,223.9,210.1,170.0,434.0,109.09,False,False
FRAME-KIDS,1,600.0,0.0,155.56,444.44,320.0,250.0,561.0,320.0,False,False
FRAME-KIDS,2,444.44,0.0,155.56,288.88,320.0,250.0,561.0,0.0,False,False
FRAME-KIDS,3,288.88,320.0,155.56,453.32,320.0,250.0,561.0,320.0,False,False
FRAME-KIDS,4,453.32,0.0,155.56,297.76,320.0,250.0,561.0,0.0,False,False
FRAME-KIDS,5,297.76,320.0,155.56,462.2,320.0,250.0,561.0,320.0,False,False
FRAME-KIDS,6,462.2,0.0,155.56,306.64,320.0,250.0,561.0,0.0,False,False
FRAME-KIDS,7,306.64,320.0,155.56,471.08,320.0,250.0,561.0,320.0,False,False
FRAME-KIDS,8,471.08,0.0,155.56,315.52,320.0,250.0,561.0,0.0,False,False
FRAME-KIDS,9,315.52,320.0,155.56,479.96,320.0,250.0,561.0,320.0,False,False
FRAME-KIDS,10,479.96,0.0,155.56,324.4,320.0,250.0,561.0,0.0,False,False
FRAME-KIDS,11,324.4,320.0,155.56,488.84,320.0,250.0,561.0,320.0,False,False
FRAME-KIDS,12,488.84,0.0,155.56,333.28,320.0,250.0,561.0,0.0,False,False
WHEEL-26,1,1150.0,0.0,365.66,784.34,51.66,470.0,836.0,51.66,False,False
WHEEL-26,2,784.34,51.66,365.66,470.34,365.66,470.0,836.0,365.66,False,False
WHEEL-26,3,470.34,365.66,365.66,470.34,365.66,470.0,836.0,365.66,False,False
WHEEL-26,4,470.34,365.66,365.66,470.34,365.66,470.0,836.0,365.66,False,False
WHEEL-26,5,470.34,365.66,365.66,470.34,365.66,470.0,836.0,365.66,False,False
WHEEL-26,6,470.34,365.66,365.66,470.34,365.66,470.0,836.0,365.66,False,False
WHEEL-26,7,470.34,365.66,365.66,470.34,365.66,470.0,836.0,365.66,False,False
WHEEL-26,8,470.34,365.66,365.66,470.34,365.66,470.0,836.0,365.66,False,False
WHEEL-26,9,470.34,365.66,365.66,470.34,365.66,470.0,836.0,365.66,False,False
WHEEL-26,10,470.34,365.66,365.66,470.34,365.66,470.0,836.0,365.66,False,False
WHEEL-26,11,470.34,365.66,365.66,470.34,365.66,470.0,836.0,365.66,False,False
WHEEL-26,12,470.34,365.66,365.66,470.34,365.66,470.0,836.0,365.66,False,False
WHEEL-700C,1,730.0,0.0,248.48,481.52,102.48,320.0,584.0,102.48,False,False
WHEEL-700C,2,481.52,102.48,248.48,335.52,248.48,320.0,584.0,248.48,False,False
WHEEL-700C,3,335.52,248.48,286.87,297.13,286.87,320.0,584.0,286.87,True,False
WHEEL-700C,4,297.13,286.87,325.25,258.75,325.25,320.0,584.0,325.25,True,False
WHEEL-700C,5,258.75,325.25,331.31,252.69,331.31,320.0,584.0,331.31,True,False
WHEEL-700C,6,252.69,331.31,327.27,256.73,327.27,320.0,584.0,327.27,True,False
WHEEL-700C,7,256.73,327.27,290.91,293.09,290.91,320.0,584.0,290.91,True,False
WHEEL-700C,8,293.09,290.91,264.65,319.35,264.65,320.0,584.0,264.65,True,False
WHEEL-700C,9,319.35,264.65,240.4,343.6,240.4,320.0,584.0,240.4,False,False
WHEEL-700C,10,343.6,240.4,218.18,365.82,218.18,320.0,584.0,218.18,False,False
WHEEL-700C,11,365.82,218.18,202.02,381.98,202.02,320.0,584.0,202.02,False,False
WHEEL-700C,12,381.98,202.02,218.18,365.82,218.18,320.0,584.0,218.18,False,False
WHEEL-20,1,1150.0,0.0,311.11,838.89,0.0,470.0,781.0,0.0,False,False
WHEEL-20,2,838.89,0.0,311.11,527.78,630.0,470.0,781.0,630.0,False,False
WHEEL-20,3,527.78,630.0,311.11,846.67,0.0,470.0,781.0,0.0,False,False
WHEEL-20,4,846.67,0.0,311.11,535.56,630.0,470.0,781.0,630.0,False,False
WHEEL-20,5,535.56,630.0,311.11,854.45,0.0,470.0,781.0,0.0,False,False
WHEEL-20,6,854.45,0.0,311.11,543.34,630.0,470.0,781.0,630.0,False,False
WHEEL-20,7,543.34,630.0,311.11,862.23,0.0,470.0,781.0,0.0,False,False
WHEEL-20,8,862.23,0.0,311.11,551.12,630.0,470.0,781.0,630.0,False,False
WHEEL-20,9,551.12,630.0,311.11,870.01,0.0,470.0,781.0,0.0,False,False
WHEEL-20,10,870.01,0.0,311.11,558.9,630.0,470.0,781.0,630.0,False,False
WHEEL-20,11,558.9,630.0,311.11,877.79,0.0,470.0,781.0,0.0,False,False
WHEEL-20,12,877.79,0.0,311.11,566.68,630.0,470.0,781.0,630.0,False,False
DRIVE-21S,1,560.0,0.0,182.83,377.17,35.83,230.0,413.0,35.83,False,False
DRIVE-21S,2,377.17,35.83,182.83,230.17,182.83,230.0,413.0,182.83,False,False
DRIVE-21S,3,230.17,182.83,182.83,230.17,182.83,230.0,413.0,182.83,False,False
DRIVE-21S,4,230.17,182.83,182.83,230.17,182.83,230.0,413.0,182.83,False,False
DRIVE-21S,5,230.17,182.83,182.83,230.17,182.83,230.0,413.0,182.83,False,False
DRIVE-21S,6,230.17,182.83,182.83,230.17,182.83,230.0,413.0,182.83,False,False
DRIVE-21S,7,230.17,182.83,182.83,230.17,182.83,230.0,413.0,182.83,False,False
DRIVE-21S,8,230.17,182.83,182.83,230.17,182.83,230.0,413.0,182.83,False,False
DRIVE-21S,9,230.17,182.83,182.83,230.17,182.83,230.0,413.0,182.83,False,False
DRIVE-21S,10,230.17,182.83,182.83,230.17,182.83,230.0,413.0,182.83,False,False
DRIVE-21S,11,230.17,182.83,182.83,230.17,182.83,230.0,413.0,182.83,False,False
DRIVE-21S,12,230.17,182.83,182.83,230.17,182.83,230.0,413.0,182.83,False,False
DRIVE-14S,1,400.0,0.0,124.24,275.76,26.24,170.0,302.0,26.24,False,False
DRIVE-14S,2,275.76,26.24,124.24,177.76,124.24,170.0,302.0,124.24,False,False
DRIVE-14S,3,177.76,124.24,143.43,158.57,143.43,170.0,302.0,143.43,True,False
DRIVE-14S,4,158.57,143.43,162.63,139.37,162.63,170.0,302.0,162.63,True,False
DRIVE-14S,5,139.37,162.63,165.66,136.34,165.66,170.0,302.0,165.66,True,False
DRIVE-14S,6,136.34,165.66,163.64,138.36,163.64,170.0,302.0,163.64,True,False
DRIVE-14S,7,138.36,163.64,145.45,156.55,145.45,170.0,302.0,145.45,True,False
DRIVE-14S,8,156.55,145.45,132.32,169.68,132.32,170.0,302.0,132.32,True,False
DRIVE-14S,9,169.68,132.32,120.2,181.8,120.2,170.0,302.0,120.2,False,False
DRIVE-14S,10,181.8,120.2,109.09,192.91,109.09,170.0,302.0,109.09,False,False
DRIVE-14S,11,192.91,109.09,101.01,200.99,101.01,170.0,302.0,101.01,False,False
DRIVE-14S,12,200.99,101.01,109.09,192.91,109.09,170.0,302.0,109.09,False,False
DRIVE-SS,1,580.0,0.0,155.56,424.44,0.0,240.0,396.0,0.0,False,False
DRIVE-SS,2,424.44,0.0,155.56,268.88,910.0,240.0,396.0,910.0,False,False
DRIVE-SS,3,268.88,910.0,155.56,1023.32,0.0,240.0,396.0,0.0,False,False
DRIVE-SS,4,1023.32,0.0,155.56,867.76,0.0,240.0,396.0,0.0,False,False
DRIVE-SS,5,867.76,0.0,155.56,712.2,0.0,240.0,396.0,0.0,False,False
DRIVE-SS,6,712.2,0.0,155.56,556.64,0.0,240.0,396.0,0.0,False,False
DRIVE-SS,7,556.64,0.0,155.56,401.08,0.0,240.0,396.0,0.0,False,False
DRIVE-SS,8,401.08,0.0,155.56,245.52,910.0,240.0,396.0,910.0,False,False
DRIVE-SS,9,245.52,910.0,155.56,999.96,0.0,240.0,396.0,0.0,False,False
DRIVE-SS,10,999.96,0.0,155.56,844.4,0.0,240.0,396.0,0.0,False,False
DRIVE-SS,11,844.4,0.0,155.56,688.84,0.0,240.0,396.0,0.0,False,False
DRIVE-SS,12,688.84,0.0,155.56,533.28,0.0,240.0,396.0,0.0,False,False
BRAKE-DISC,1,750.0,0.0,182.83,567.17,450.0,360.0,908.0,450.0,False,False
BRAKE-DISC,2,567.17,0.0,182.83,384.34,900.0,360.0,908.0,450.0,False,False
BRAKE-DISC,3,384.34,0.0,182.83,201.51,900.0,360.0,908.0,0.0,True,False
BRAKE-DISC,4,201.51,450.0,182.83,468.68,450.0,360.0,908.0,0.0,False,False
BRAKE-DISC,5,468.68,450.0,182.83,735.85,450.0,360.0,908.0,450.0,False,False
BRAKE-DISC,6,735.85,0.0,182.83,553.02,450.0,360.0,908.0,0.0,False,False
BRAKE-DISC,7,553.02,0.0,182.83,370.19,900.0,360.0,908.0,450.0,False,False
BRAKE-DISC,8,370.19,450.0,182.83,637.36,450.0,360.0,908.0,0.0,False,False
BRAKE-DISC,9,637.36,0.0,182.83,454.53,900.0,360.0,908.0,450.0,False,False
BRAKE-DISC,10,454.53,450.0,182.83,721.7,450.0,360.0,908.0,0.0,False,False
BRAKE-DISC,11,721.7,0.0,182.83,538.87,450.0,360.0,908.0,0.0,False,False
BRAKE-DISC,12,538.87,450.0,182.83,806.04,450.0,360.0,908.0,450.0,False,False
BRAKE-RIM,1,1100.0,0.0,279.8,820.2,700.0,500.0,1075.0,700.0,False,False
BRAKE-RIM,2,820.2,0.0,279.8,540.4,700.0,500.0,1075.0,0.0,False,False
BRAKE-RIM,3,540.4,700.0,298.99,941.41,700.0,500.0,1075.0,700.0,False,False
BRAKE-RIM,4,941.41,0.0,318.18,623.23,700.0,500.0,1075.0,0.0,False,False
BRAKE-RIM,5,623.23,700.0,321.21,1002.02,700.0,500.0,1075.0,700.0,False,False
BRAKE-RIM,6,1002.02,0.0,319.19,682.83,700.0,500.0,1075.0,0.0,False,False
BRAKE-RIM,7,682.83,700.0,301.01,1081.82,0.0,500.0,1075.0,0.0,False,False
BRAKE-RIM,8,1081.82,0.0,287.88,793.94,700.0,500.0,1075.0,700.0,False,False
BRAKE-RIM,9,793.94,0.0,275.76,518.18,700.0,500.0,1075.0,0.0,False,False
BRAKE-RIM,10,518.18,700.0,264.65,953.53,700.0,500.0,1075.0,700.0,False,False
BRAKE-RIM,11,953.53,0.0,256.57,696.96,700.0,500.0,1075.0,0.0,False,False
BRAKE-RIM,12,696.96,700.0,264.65,1132.31,0.0,500.0,1075.0,0.0,False,False
SADDLE-ASSY,1,1850.0,0.0,462.63,1387.37,2669.0,830.0,1771.0,2669.0,False,False
SADDLE-ASSY,2,1387.37,0.0,462.63,924.74,2669.0,830.0,1771.0,0.0,False,False
SADDLE-ASSY,3,924.74,2669.0,481.82,3111.92,0.0,830.0,1771.0,0.0,False,False
SADDLE-ASSY,4,3111.92,0.0,501.01,2610.91,0.0,830.0,1771.0,0.0,False,False
SADDLE-ASSY,5,2610.91,0.0,504.04,2106.87,0.0,830.0,1771.0,0.0,False,False
SADDLE-ASSY,6,2106.87,0.0,502.02,1604.85,2669.0,830.0,1771.0,2669.0,False,False
SADDLE-ASSY,7,1604.85,0.0,483.84,1121.01,2669.0,830.0,1771.0,0.0,False,False
SADDLE-ASSY,8,1121.01,2669.0,470.71,3319.3,0.0,830.0,1771.0,0.0,False,False
SADDLE-ASSY,9,3319.3,0.0,458.59,2860.71,0.0,830.0,1771.0,0.0,False,False
SADDLE-ASSY,10,2860.71,0.0,447.47,2413.24,0.0,830.0,1771.0,0.0,False,False
SADDLE-ASSY,11,2413.24,0.0,439.39,1973.85,0.0,830.0,1771.0,0.0,False,False
SADDLE-ASSY,12,1973.85,0.0,447.47,1526.38,2669.0,830.0,1771.0,2669.0,False,False
TUBESET-MTB,1,550.0,0.0,186.56,363.44,43.56,220.0,407.0,43.56,False,False
TUBESET-MTB,2,363.44,43.56,186.56,220.44,186.56,220.0,407.0,186.56,False,False
TUBESET-MTB,3,220.44,186.56,186.56,220.44,186.56,220.0,407.0,186.56,False,False
TUBESET-MTB,4,220.44,186.56,186.56,220.44,186.56,220.0,407.0,186.56,False,False
TUBESET-MTB,5,220.44,186.56,186.56,220.44,186.56,220.0,407.0,186.56,False,False
TUBESET-MTB,6,220.44,186.56,186.56,220.44,186.56,220.0,407.0,186.56,False,False
TUBESET-MTB,7,220.44,186.56,186.56,220.44,186.56,220.0,407.0,186.56,False,False
TUBESET-MTB,8,220.44,186.56,186.56,220.44,186.56,220.0,407.0,186.56,False,False
TUBESET-MTB,9,220.44,186.56,186.56,220.44,186.56,220.0,407.0,186.56,False,False
TUBESET-MTB,10,220.44,186.56,186.56,220.44,186.56,220.0,407.0,186.56,False,False
TUBESET-MTB,11,220.44,186.56,186.56,220.44,186.56,220.0,407.0,186.56,False,False
TUBESET-MTB,12,220.44,186.56,186.56,220.44,186.56,220.0,407.0,186.56,False,False
TUBESET-ROAD,1,360.0,0.0,126.78,233.22,51.78,150.0,285.0,51.78,False,False
TUBESET-ROAD,2,233.22,51.78,126.78,158.22,126.78,150.0,285.0,126.78,False,False
TUBESET-ROAD,3,158.22,126.78,146.36,138.64,146.36,150.0,285.0,146.36,True,False
TUBESET-ROAD,4,138.64,146.36,165.95,119.05,165.95,150.0,285.0,165.95,True,False
TUBESET-ROAD,5,119.05,165.95,169.04,115.96,169.04,150.0,285.0,169.04,True,False
TUBESET-ROAD,6,115.96,169.04,166.98,118.02,166.98,150.0,285.0,166.98,True,False
TUBESET-ROAD,7,118.02,166.98,148.42,136.58,148.42,150.0,285.0,148.42,True,False
TUBESET-ROAD,8,136.58,148.42,135.02,149.98,135.02,150.0,285.0,135.02,True,False
TUBESET-ROAD,9,149.98,135.02,122.66,162.34,122.66,150.0,285.0,122.66,False,False
TUBESET-ROAD,10,162.34,122.66,111.32,173.68,111.32,150.0,285.0,111.32,False,False
TUBESET-ROAD,11,173.68,111.32,103.07,181.93,103.07,150.0,285.0,103.07,False,False
TUBESET-ROAD,12,181.93,103.07,111.32,173.68,111.32,150.0,285.0,111.32,False,False
TUBESET-KIDS,1,550.0,0.0,158.73,391.27,0.0,230.0,389.0,0.0,False,False
TUBESET-KIDS,2,391.27,0.0,158.73,232.54,320.0,230.0,389.0,320.0,False,False
TUBESET-KIDS,3,232.54,320.0,158.73,393.81,0.0,230.0,389.0,0.0,False,False
TUBESET-KIDS,4,393.81,0.0,158.73,235.08,320.0,230.0,389.0,320.0,False,False
TUBESET-KIDS,5,235.08,320.0,158.73,396.35,0.0,230.0,389.0,0.0,False,False
TUBESET-KIDS,6,396.35,0.0,158.73,237.62,320.0,230.0,389.0,320.0,False,False
TUBESET-KIDS,7,237.62,320.0,158.73,398.89,0.0,230.0,389.0,0.0,False,False
TUBESET-KIDS,8,398.89,0.0,158.73,240.16,320.0,230.0,389.0,320.0,False,False
TUBESET-KIDS,9,240.16,320.0,158.73,401.43,0.0,230.0,389.0,0.0,False,False
TUBESET-KIDS,10,401.43,0.0,158.73,242.7,320.0,230.0,389.0,320.0,False,False
TUBESET-KIDS,11,242.7,320.0,158.73,403.97,0.0,230.0,389.0,0.0,False,False
TUBESET-KIDS,12,403.97,0.0,158.73,245.24,320.0,230.0,389.0,320.0,False,False
RIM-26,1,1600.0,0.0,369.35,1230.65,910.0,800.0,1908.0,910.0,False,False
RIM-26,2,1230.65,0.0,369.35,861.3,1820.0,800.0,1908.0,910.0,False,False
RIM-26,3,861.3,0.0,369.35,491.95,1820.0,800.0,1908.0,0.0,True,False
RIM-26,4,491.95,910.0,369.35,1032.6,910.0,800.0,1908.0,0.0,False,False
RIM-26,5,1032.6,910.0,369.35,1573.25,910.0,800.0,1908.0,910.0,False,False
RIM-26,6,1573.25,0.0,369.35,1203.9,910.0,800.0,1908.0,0.0,False,False
RIM-26,7,1203.9,0.0,369.35,834.55,1820.0,800.0,1908.0,910.0,False,False
RIM-26,8,834.55,910.0,369.35,1375.2,910.0,800.0,1908.0,0.0,False,False
RIM-26,9,1375.2,0.0,369.35,1005.85,910.0,800.0,1908.0,0.0,False,False
RIM-26,10,1005.85,910.0,369.35,1546.5,910.0,800.0,1908.0,910.0,False,False
RIM-26,11,1546.5,0.0,369.35,1177.15,910.0,800.0,1908.0,0.0,False,False
RIM-26,12,1177.15,0.0,369.35,807.8,1820.0,800.0,1908.0,910.0,False,False
RIM-700C,1,1000.0,0.0,250.99,749.01,620.0,520.0,1319.0,620.0,False,False
RIM-700C,2,749.01,0.0,250.99,498.02,1240.0,520.0,1319.0,620.0,True,False
RIM-700C,3,498.02,0.0,289.77,208.25,1240.0,520.0,1319.0,0.0,True,False
RIM-700C,4,208.25,620.0,328.54,499.71,1240.0,520.0,1319.0,620.0,True,False
RIM-700C,5,499.71,620.0,334.66,785.05,620.0,520.0,1319.0,0.0,False,False
RIM-700C,6,785.05,0.0,330.58,454.47,1240.0,520.0,1319.0,620.0,True,False
RIM-700C,7,454.47,620.0,293.85,780.62,620.0,520.0,1319.0,0.0,False,False
RIM-700C,8,780.62,0.0,267.32,513.3,1240.0,520.0,1319.0,620.0,True,False
RIM-700C,9,513.3,620.0,242.83,890.47,620.0,520.0,1319.0,0.0,False,False
RIM-700C,10,890.47,0.0,220.39,670.08,1240.0,520.0,1319.0,620.0,False,False
RIM-700C,11,670.08,620.0,204.06,1086.02,620.0,520.0,1319.0,0.0,False,False
RIM-700C,12,1086.02,0.0,220.39,865.63,620.0,520.0,1319.0,0.0,False,False
RIM-20,1,1300.0,0.0,314.25,985.75,800.0,610.0,1239.0,800.0,False,False
RIM-20,2,985.75,0.0,314.25,671.5,800.0,610.0,1239.0,0.0,False,False
RIM-20,3,671.5,800.0,314.25,1157.25,800.0,610.0,1239.0,800.0,False,False
RIM-20,4,1157.25,0.0,314.25,843.0,800.0,610.0,1239.0,0.0,False,False
RIM-20,5,843.0,800.0,314.25,1328.75,0.0,610.0,1239.0,0.0,False,False
RIM-20,6,1328.75,0.0,314.25,1014.5,800.0,610.0,1239.0,800.0,False,False
RIM-20,7,1014.5,0.0,314.25,700.25,800.0,610.0,1239.0,0.0,False,False
RIM-20,8,700.25,800.0,314.25,1186.0,800.0,610.0,1239.0,800.0,False,False
RIM-20,9,1186.0,0.0,314.25,871.75,800.0,610.0,1239.0,0.0,False,False
RIM-20,10,871.75,800.0,314.25,1357.5,0.0,610.0,1239.0,0.0,False,False
RIM-20,11,1357.5,0.0,314.25,1043.25,800.0,610.0,1239.0,800.0,False,False
RIM-20,12,1043.25,0.0,314.25,729.0,800.0,610.0,1239.0,0.0,False,False
HUB-STD,1,4650.0,0.0,934.6,3715.4,4995.0,2400.0,6200.0,4995.0,False,False
HUB-STD,2,3715.4,0.0,934.6,2780.8,4995.0,2400.0,6200.0,0.0,False,False
HUB-STD,3,2780.8,0.0,973.37,1807.43,4995.0,2400.0,6200.0,0.0,True,False
HUB-STD,4,1807.43,0.0,1012.14,795.29,9990.0,2400.0,6200.0,4995.0,True,False
HUB-STD,5,795.29,4995.0,1018.26,4772.03,4995.0,2400.0,6200.0,0.0,False,False
HUB-STD,6,4772.03,0.0,1014.18,3757.85,4995.0,2400.0,6200.0,0.0,False,False
HUB-STD,7,3757.85,0.0,977.45,2780.4,4995.0,2400.0,6200.0,0.0,False,False
HUB-STD,8,2780.4,4995.0,950.92,6824.48,0.0,2400.0,6200.0,0.0,False,False
HUB-STD,9,6824.48,0.0,926.44,5898.04,4995.0,2400.0,6200.0,4995.0,False,False
HUB-STD,10,5898.04,0.0,903.99,4994.05,4995.0,2400.0,6200.0,0.0,False,False
HUB-STD,11,4994.05,0.0,887.66,4106.39,4995.0,2400.0,6200.0,0.0,False,False
HUB-STD,12,4106.39,0.0,903.99,3202.4,4995.0,2400.0,6200.0,0.0,False,False
SPOKE,1,130500.0,0.0,29240.86,101259.14,87000.0,58000.0,117493.0,87000.0,False,False
SPOKE,2,101259.14,0.0,29240.86,72018.28,87000.0,58000.0,117493.0,0.0,False,False
SPOKE,3,72018.28,87000.0,30507.13,128511.15,0.0,58000.0,117493.0,0.0,False,False
SPOKE,4,128511.15,0.0,31773.4,96737.75,87000.0,58000.0,117493.0,87000.0,False,False
SPOKE,5,96737.75,0.0,31973.34,64764.41,87000.0,58000.0,117493.0,0.0,False,False
SPOKE,6,64764.41,87000.0,31840.05,119924.36,0.0,58000.0,117493.0,0.0,False,False
SPOKE,7,119924.36,0.0,30640.42,89283.94,87000.0,58000.0,117493.0,87000.0,False,False
SPOKE,8,89283.94,0.0,29774.03,59509.91,87000.0,58000.0,117493.0,0.0,False,False
SPOKE,9,59509.91,87000.0,28974.28,117535.63,0.0,58000.0,117493.0,0.0,False,False
SPOKE,10,117535.63,0.0,28241.17,89294.46,87000.0,58000.0,117493.0,87000.0,False,False
SPOKE,11,89294.46,0.0,27708.01,61586.45,87000.0,58000.0,117493.0,0.0,False,False
SPOKE,12,61586.45,87000.0,28241.17,120345.28,0.0,58000.0,117493.0,0.0,False,False
TYRE-26,1,1900.0,0.0,369.35,1530.65,910.0,940.0,2417.0,910.0,False,False
TYRE-26,2,1530.65,0.0,369.35,1161.3,1820.0,940.0,2417.0,910.0,False,False
TYRE-26,3,1161.3,0.0,369.35,791.95,1820.0,940.0,2417.0,0.0,True,False
TYRE-26,4,791.95,0.0,369.35,422.6,2730.0,940.0,2417.0,910.0,True,False
TYRE-26,5,422.6,910.0,369.35,963.25,1820.0,940.0,2417.0,0.0,False,False
TYRE-26,6,963.25,910.0,369.35,1503.9,1820.0,940.0,2417.0,910.0,False,False
TYRE-26,7,1503.9,0.0,369.35,1134.55,1820.0,940.0,2417.0,0.0,False,False
TYRE-26,8,1134.55,910.0,369.35,1675.2,910.0,940.0,2417.0,0.0,False,False
TYRE-26,9,1675.2,0.0,369.35,1305.85,1820.0,940.0,2417.0,910.0,False,False
TYRE-26,10,1305.85,910.0,369.35,1846.5,910.0,940.0,2417.0,0.0,False,False
TYRE-26,11,1846.5,0.0,369.35,1477.15,1820.0,940.0,2417.0,910.0,False,False
TYRE-26,12,1477.15,0.0,369.35,1107.8,1820.0,940.0,2417.0,0.0,False,False
TYRE-700C,1,450.0,0.0,250.99,199.01,1860.0,590.0,1656.0,1860.0,True,False
