JobID,Item,Quantity,Arrival,DueHrs,Completion,FlowTime,ProcessTime,WaitingTime,Lateness,Tardiness,OnTime,Rule
PO-0035,FRAME-ROAD,132.323,320.0,480.0,448.06,128.06,56.99,71.07,-31.94,0.0,True,FCFS
PO-0047,WHEEL-26,365.657,400.0,480.0,450.32,50.32,50.32,0.0,-29.68,0.0,True,FCFS
PO-0040,BIKE-MTB,181.0,400.0,480.0,453.94,53.94,53.94,0.0,-26.06,0.0,True,FCFS
PO-0046,WHEEL-20,630.0,400.0,480.0,464.77,64.77,64.77,0.0,-15.23,0.0,True,FCFS
PO-0045,FRAME-ROAD,120.202,400.0,560.0,467.56,67.56,52.02,15.54,-92.44,0.0,True,FCFS
PO-0041,BIKE-ROAD,144.0,400.0,480.0,470.87,70.87,45.66,25.21,-9.13,0.0,True,FCFS
PO-0044,FRAME-MTB,182.828,400.0,560.0,494.89,94.89,71.53,23.36,-65.11,0.0,True,FCFS
PO-0061,TUBESET-MTB,186.559,480.0,560.0,501.28,21.28,21.28,0.0,-58.72,0.0,True,FCFS
PO-0060,TUBESET-KIDS,320.0,480.0,560.0,505.33,25.33,25.33,0.0,-54.67,0.0,True,FCFS
PO-0062,TUBESET-ROAD,103.072,480.0,560.0,514.55,34.55,13.26,21.28,-45.45,0.0,True,FCFS
PO-0057,FRAME-ROAD,109.091,480.0,640.0,527.47,47.47,47.47,0.0,-112.53,0.0,True,FCFS
PO-0058,WHEEL-26,365.657,480.0,560.0,530.32,50.32,50.32,0.0,-29.68,0.0,True,FCFS
PO-0052,BIKE-MTB,181.0,480.0,560.0,533.94,53.94,53.94,0.0,-26.06,0.0,True,FCFS
PO-0051,BIKE-KIDS,310.0,480.0,560.0,546.18,66.18,66.18,0.0,-13.82,0.0,True,FCFS
PO-0056,FRAME-MTB,182.828,480.0,640.0,554.8,74.8,71.53,3.27,-85.2,0.0,True,FCFS
PO-0073,TUBESET-ROAD,111.317,560.0,640.0,574.27,14.27,14.27,0.0,-65.73,0.0,True,FCFS
PO-0053,BIKE-ROAD,131.0,480.0,560.0,575.55,95.55,41.61,53.94,15.55,15.55,False,FCFS
PO-0072,TUBESET-MTB,186.559,560.0,640.0,581.28,21.28,21.28,0.0,-58.72,0.0,True,FCFS
PO-0070,WHEEL-26,365.657,560.0,640.0,610.32,50.32,50.32,0.0,-29.68,0.0,True,FCFS
PO-0064,BIKE-ROAD,119.0,560.0,640.0,613.41,53.41,37.86,15.55,-26.59,0.0,True,FCFS
PO-0063,BIKE-MTB,181.0,560.0,640.0,613.94,53.94,53.94,0.0,-26.06,0.0,True,FCFS
PO-0068,FRAME-MTB,182.828,560.0,720.0,631.53,71.53,71.53,0.0,-88.47,0.0,True,FCFS
PO-0067,FRAME-KIDS,320.0,560.0,720.0,666.73,106.73,88.85,17.88,-53.27,0.0,True,FCFS
PO-0069,FRAME-ROAD,101.01,560.0,720.0,683.33,123.33,44.15,79.18,-36.67,0.0,True,FCFS
