JobID,Item,Quantity,OpSeq,Operation,WorkCentre,Machine,Start,End,SetupHrs,RunHrs,ProcessHrs,WaitHrs,DueHrs,Rule
PO-0039,TUBESET-ROAD,122.655,10,Cut & Miter Tubes,WC01,WC01-M2,320.0,335.658,0.667,14.991,15.658,0.0,400.0,FCFS
PO-0033,FRAME-KIDS,320.0,10,Weld Frame,WC02,WC02-M1,320.0,373.647,0.941,52.706,53.647,0.0,480.0,FCFS
PO-0034,FRAME-MTB,182.828,10,Weld Frame,WC02,WC02-M2,320.0,364.195,1.176,43.019,44.195,0.0,480.0,FCFS
PO-0036,WHEEL-26,365.657,10,Lace & True Wheel,WC04,WC04-M1,320.0,370.317,0.455,49.862,50.317,0.0,400.0,FCFS
PO-0028,BIKE-KIDS,310.0,10,Final Assembly & QC,WC06,WC06-M1,320.0,386.176,0.529,65.647,66.176,0.0,400.0,FCFS
PO-0029,BIKE-MTB,181.0,10,Final Assembly & QC,WC06,WC06-M2,320.0,373.941,0.706,53.235,53.941,0.0,400.0,FCFS
PO-0035,FRAME-ROAD,132.323,10,Weld Frame,WC02,WC02-M2,364.195,399.855,1.412,34.248,35.66,44.195,480.0,FCFS
PO-0034,FRAME-MTB,182.828,20,Powder Coat,WC03,WC03-M1,364.195,391.53,1.333,26.002,27.335,0.0,480.0,FCFS
PO-0030,BIKE-ROAD,162.0,10,Final Assembly & QC,WC06,WC06-M2,373.941,425.212,0.765,50.506,51.271,53.941,400.0,FCFS
PO-0033,FRAME-KIDS,320.0,20,Powder Coat,WC03,WC03-M1,391.53,426.73,1.067,34.133,35.2,17.883,480.0,FCFS
PO-0049,TUBESET-MTB,186.559,10,Cut & Miter Tubes,WC01,WC01-M1,400.0,421.284,0.556,20.729,21.284,0.0,480.0,FCFS
PO-0050,TUBESET-ROAD,111.317,10,Cut & Miter Tubes,WC01,WC01-M2,400.0,414.272,0.667,13.606,14.272,0.0,480.0,FCFS
PO-0044,FRAME-MTB,182.828,10,Weld Frame,WC02,WC02-M1,400.0,444.195,1.176,43.019,44.195,0.0,560.0,FCFS
PO-0045,FRAME-ROAD,120.202,10,Weld Frame,WC02,WC02-M2,400.0,432.522,1.412,31.111,32.522,0.0,560.0,FCFS
PO-0046,WHEEL-20,630.0,10,Lace & True Wheel,WC04,WC04-M1,400.0,464.773,0.341,64.432,64.773,0.0,480.0,FCFS
PO-0047,WHEEL-26,365.657,10,Lace & True Wheel,WC04,WC04-M2,400.0,450.317,0.455,49.862,50.317,0.0,480.0,FCFS
PO-0040,BIKE-MTB,181.0,10,Final Assembly & QC,WC06,WC06-M1,400.0,453.941,0.706,53.235,53.941,0.0,480.0,FCFS
PO-0041,BIKE-ROAD,144.0,10,Final Assembly & QC,WC06,WC06-M2,425.212,470.871,0.765,44.894,45.659,25.212,480.0,FCFS
PO-0035,FRAME-ROAD,132.323,20,Powder Coat,WC03,WC03-M1,426.73,448.058,1.333,19.995,21.328,26.875,480.0,FCFS
PO-0045,FRAME-ROAD,120.202,20,Powder Coat,WC03,WC03-M1,448.058,467.555,1.333,18.164,19.497,15.536,560.0,FCFS
PO-0044,FRAME-MTB,182.828,20,Powder Coat,WC03,WC03-M1,467.555,494.89,1.333,26.002,27.335,23.36,560.0,FCFS
PO-0060,TUBESET-KIDS,320.0,10,Cut & Miter Tubes,WC01,WC01-M1,480.0,505.333,0.444,24.889,25.333,0.0,560.0,FCFS
PO-0061,TUBESET-MTB,186.559,10,Cut & Miter Tubes,WC01,WC01-M2,480.0,501.284,0.556,20.729,21.284,0.0,560.0,FCFS
PO-0056,FRAME-MTB,182.828,10,Weld Frame,WC02,WC02-M1,480.0,524.195,1.176,43.019,44.195,0.0,640.0,FCFS
PO-0057,FRAME-ROAD,109.091,10,Weld Frame,WC02,WC02-M2,480.0,509.647,1.412,28.235,29.647,0.0,640.0,FCFS
PO-0058,WHEEL-26,365.657,10,Lace & True Wheel,WC04,WC04-M1,480.0,530.317,0.455,49.862,50.317,0.0,560.0,FCFS
PO-0051,BIKE-KIDS,310.0,10,Final Assembly & QC,WC06,WC06-M1,480.0,546.176,0.529,65.647,66.176,0.0,560.0,FCFS
PO-0052,BIKE-MTB,181.0,10,Final Assembly & QC,WC06,WC06-M2,480.0,533.941,0.706,53.235,53.941,0.0,560.0,FCFS
PO-0062,TUBESET-ROAD,103.072,10,Cut & Miter Tubes,WC01,WC01-M2,501.284,514.549,0.667,12.598,13.264,21.284,560.0,FCFS
PO-0057,FRAME-ROAD,109.091,20,Powder Coat,WC03,WC03-M1,509.647,527.466,1.333,16.485,17.819,0.0,640.0,FCFS
PO-0056,FRAME-MTB,182.828,20,Powder Coat,WC03,WC03-M1,527.466,554.801,1.333,26.002,27.335,3.27,640.0,FCFS
PO-0053,BIKE-ROAD,131.0,10,Final Assembly & QC,WC06,WC06-M2,533.941,575.547,0.765,40.841,41.606,53.941,560.0,FCFS
PO-0072,TUBESET-MTB,186.559,10,Cut & Miter Tubes,WC01,WC01-M1,560.0,581.284,0.556,20.729,21.284,0.0,640.0,FCFS
PO-0073,TUBESET-ROAD,111.317,10,Cut & Miter Tubes,WC01,WC01-M2,560.0,574.272,0.667,13.606,14.272,0.0,640.0,FCFS
PO-0067,FRAME-KIDS,320.0,10,Weld Frame,WC02,WC02-M1,560.0,613.647,0.941,52.706,53.647,0.0,720.0,FCFS
PO-0068,FRAME-MTB,182.828,10,Weld Frame,WC02,WC02-M2,560.0,604.195,1.176,43.019,44.195,0.0,720.0,FCFS
PO-0070,WHEEL-26,365.657,10,Lace & True Wheel,WC04,WC04-M1,560.0,610.317,0.455,49.862,50.317,0.0,640.0,FCFS
PO-0063,BIKE-MTB,181.0,10,Final Assembly & QC,WC06,WC06-M1,560.0,613.941,0.706,53.235,53.941,0.0,640.0,FCFS
PO-0064,BIKE-ROAD,119.0,10,Final Assembly & QC,WC06,WC06-M2,575.547,613.412,0.765,37.1,37.865,15.547,640.0,FCFS
PO-0069,FRAME-ROAD,101.01,10,Weld Frame,WC02,WC02-M2,604.195,631.751,1.412,26.144,27.555,44.195,720.0,FCFS
PO-0068,FRAME-MTB,182.828,20,Powder Coat,WC03,WC03-M1,604.195,631.53,1.333,26.002,27.335,0.0,720.0,FCFS
PO-0067,FRAME-KIDS,320.0,20,Powder Coat,WC03,WC03-M1,631.53,666.73,1.067,34.133,35.2,17.883,720.0,FCFS
PO-0069,FRAME-ROAD,101.01,20,Powder Coat,WC03,WC03-M1,666.73,683.328,1.333,15.264,16.597,34.98,720.0,FCFS
