Item,LowLevelCode,Period,GrossRequirement,DrivenBy
DRIVE-14S,1,8,132.32,BIKE-ROAD(132.32)
DRIVE-14S,1,9,120.2,BIKE-ROAD(120.2)
DRIVE-14S,1,10,109.09,BIKE-ROAD(109.09)
DRIVE-14S,1,11,101.01,BIKE-ROAD(101.01)
DRIVE-14S,1,12,109.09,BIKE-ROAD(109.09)
DRIVE-21S,1,2,42.42,BIKE-MTB(42.42)
DRIVE-21S,1,3,182.83,BIKE-MTB(182.83)
DRIVE-21S,1,4,182.83,BIKE-MTB(182.83)
DRIVE-21S,1,5,182.83,BIKE-MTB(182.83)
DRIVE-21S,1,6,182.83,BIKE-MTB(182.83)
DRIVE-21S,1,7,182.83,BIKE-MTB(182.83)
DRIVE-21S,1,8,182.83,BIKE-MTB(182.83)
DRIVE-21S,1,9,182.83,BIKE-MTB(182.83)
DRIVE-21S,1,10,182.83,BIKE-MTB(182.83)
DRIVE-21S,1,11,182.83,BIKE-MTB(182.83)
DRIVE-21S,1,12,182.83,BIKE-MTB(182.83)
DRIVE-SS,1,2,375.76,BIKE-KIDS(375.76)
DRIVE-SS,1,3,142.42,BIKE-KIDS(142.42)
DRIVE-SS,1,4,68.69,BIKE-KIDS(68.69)
DRIVE-SS,1,5,39.39,BIKE-KIDS(39.39)
DRIVE-SS,1,6,234.34,BIKE-KIDS(234.34)
DRIVE-SS,1,7,78.79,BIKE-KIDS(78.79)
DRIVE-SS,1,8,156.57,BIKE-KIDS(156.57)
DRIVE-SS,1,9,156.57,BIKE-KIDS(156.57)
DRIVE-SS,1,11,313.13,BIKE-KIDS(313.13)
FRAME-KIDS,1,2,375.76,BIKE-KIDS(375.76)
FRAME-KIDS,1,3,142.42,BIKE-KIDS(142.42)
FRAME-KIDS,1,4,68.69,BIKE-KIDS(68.69)
FRAME-KIDS,1,5,39.39,BIKE-KIDS(39.39)
FRAME-KIDS,1,6,234.34,BIKE-KIDS(234.34)
FRAME-KIDS,1,7,78.79,BIKE-KIDS(78.79)
FRAME-KIDS,1,8,156.57,BIKE-KIDS(156.57)
FRAME-KIDS,1,9,156.57,BIKE-KIDS(156.57)
FRAME-KIDS,1,11,313.13,BIKE-KIDS(313.13)
FRAME-MTB,1,2,42.42,BIKE-MTB(42.42)
FRAME-MTB,1,3,182.83,BIKE-MTB(182.83)
FRAME-MTB,1,4,182.83,BIKE-MTB(182.83)
FRAME-MTB,1,5,182.83,BIKE-MTB(182.83)
FRAME-MTB,1,6,182.83,BIKE-MTB(182.83)
FRAME-MTB,1,7,182.83,BIKE-MTB(182.83)
FRAME-MTB,1,8,182.83,BIKE-MTB(182.83)
FRAME-MTB,1,9,182.83,BIKE-MTB(182.83)
FRAME-MTB,1,10,182.83,BIKE-MTB(182.83)
FRAME-MTB,1,11,182.83,BIKE-MTB(182.83)
FRAME-MTB,1,12,182.83,BIKE-MTB(182.83)
FRAME-ROAD,1,2,16.16,BIKE-ROAD(16.16)
FRAME-ROAD,1,3,143.43,BIKE-ROAD(143.43)
FRAME-ROAD,1,4,162.63,BIKE-ROAD(162.63)
FRAME-ROAD,1,5,165.66,BIKE-ROAD(165.66)
FRAME-ROAD,1,6,163.64,BIKE-ROAD(163.64)
FRAME-ROAD,1,7,145.45,BIKE-ROAD(145.45)
FRAME-ROAD,1,8,132.32,BIKE-ROAD(132.32)
FRAME-ROAD,1,9,120.2,BIKE-ROAD(120.2)
FRAME-ROAD,1,10,109.09,BIKE-ROAD(109.09)
FRAME-ROAD,1,11,101.01,BIKE-ROAD(101.01)
FRAME-ROAD,1,12,109.09,BIKE-ROAD(109.09)
SADDLE-ASSY,1,2,434.34,BIKE-KIDS(375.76); BIKE-MTB(42.42); BIKE-ROAD(16.16)
SADDLE-ASSY,1,3,468.69,BIKE-KIDS(142.42); BIKE-MTB(182.83); BIKE-ROAD(143.43)
SADDLE-ASSY,1,4,414.14,BIKE-KIDS(68.69); BIKE-MTB(182.83); BIKE-ROAD(162.63)
SADDLE-ASSY,1,5,387.88,BIKE-KIDS(39.39); BIKE-MTB(182.83); BIKE-ROAD(165.66)
SADDLE-ASSY,1,6,580.81,BIKE-KIDS(234.34); BIKE-MTB(182.83); BIKE-ROAD(163.64)
SADDLE-ASSY,1,7,407.07,BIKE-KIDS(78.79); BIKE-MTB(182.83); BIKE-ROAD(145.45)
SADDLE-ASSY,1,8,471.72,BIKE-KIDS(156.57); BIKE-MTB(182.83); BIKE-ROAD(132.32)
SADDLE-ASSY,1,9,459.6,BIKE-KIDS(156.57); BIKE-MTB(182.83); BIKE-ROAD(120.2)
SADDLE-ASSY,1,10,291.92,BIKE-MTB(182.83); BIKE-ROAD(109.09)
SADDLE-ASSY,1,11,596.97,BIKE-KIDS(313.13); BIKE-MTB(182.83); BIKE-ROAD(101.01)
SADDLE-ASSY,1,12,291.92,BIKE-MTB(182.83); BIKE-ROAD(109.09)
WHEEL-20,1,2,751.52,BIKE-KIDS(751.52)
WHEEL-20,1,3,284.85,BIKE-KIDS(284.85)
WHEEL-20,1,4,137.37,BIKE-KIDS(137.37)
WHEEL-20,1,5,78.79,BIKE-KIDS(78.79)
WHEEL-20,1,6,468.69,BIKE-KIDS(468.69)
WHEEL-20,1,7,157.58,BIKE-KIDS(157.58)
WHEEL-20,1,8,313.13,BIKE-KIDS(313.13)
WHEEL-20,1,9,313.13,BIKE-KIDS(313.13)
WHEEL-20,1,11,626.26,BIKE-KIDS(626.26)
WHEEL-26,1,2,84.85,BIKE-MTB(84.85)
WHEEL-26,1,3,365.66,BIKE-MTB(365.66)
WHEEL-26,1,4,365.66,BIKE-MTB(365.66)
WHEEL-26,1,5,365.66,BIKE-MTB(365.66)
WHEEL-26,1,6,365.66,BIKE-MTB(365.66)
WHEEL-26,1,7,365.66,BIKE-MTB(365.66)
WHEEL-26,1,8,365.66,BIKE-MTB(365.66)
WHEEL-26,1,9,365.66,BIKE-MTB(365.66)
WHEEL-26,1,10,365.66,BIKE-MTB(365.66)
WHEEL-26,1,11,365.66,BIKE-MTB(365.66)
WHEEL-26,1,12,365.66,BIKE-MTB(365.66)
WHEEL-700C,1,2,32.32,BIKE-ROAD(32.32)
WHEEL-700C,1,3,286.87,BIKE-ROAD(286.87)
WHEEL-700C,1,4,325.25,BIKE-ROAD(325.25)
WHEEL-700C,1,5,331.31,BIKE-ROAD(331.31)
WHEEL-700C,1,6,327.27,BIKE-ROAD(327.27)
WHEEL-700C,1,7,290.91,BIKE-ROAD(290.91)
WHEEL-700C,1,8,264.65,BIKE-ROAD(264.65)
WHEEL-700C,1,9,240.4,BIKE-ROAD(240.4)
WHEEL-700C,1,10,218.18,BIKE-ROAD(218.18)
WHEEL-700C,1,11,202.02,BIKE-ROAD(202.02)
WHEEL-700C,1,12,218.18,BIKE-ROAD(218.18)
CHAIN,2,2,438.73,DRIVE-14S(16.32); DRIVE-21S(42.85); DRIVE-SS(379.55)
CHAIN,2,3,473.42,DRIVE-14S(144.88); DRIVE-21S(184.68); DRIVE-SS(143.86)
CHAIN,2,4,418.32,DRIVE-14S(164.27); DRIVE-21S(184.68); DRIVE-SS(69.38)
CHAIN,2,5,391.8,DRIVE-14S(167.33); DRIVE-21S(184.68); DRIVE-SS(39.79)
CHAIN,2,6,586.67,DRIVE-14S(165.29); DRIVE-21S(184.68); DRIVE-SS(236.71)
CHAIN,2,7,411.18,DRIVE-14S(146.92); DRIVE-21S(184.68); DRIVE-SS(79.58)
CHAIN,2,8,476.48,DRIVE-14S(133.66); DRIVE-21S(184.68); DRIVE-SS(158.15)
CHAIN,2,9,464.24,DRIVE-14S(121.42); DRIVE-21S(184.68); DRIVE-SS(158.15)
CHAIN,2,10,294.87,DRIVE-14S(110.19); DRIVE-21S(184.68)
CHAIN,2,11,603.0,DRIVE-14S(102.03); DRIVE-21S(184.68); DRIVE-SS(316.29)
CHAIN,2,12,294.87,DRIVE-14S(110.19); DRIVE-21S(184.68)
CRANKSET,2,2,438.73,DRIVE-14S(16.32); DRIVE-21S(42.85); DRIVE-SS(379.55)
CRANKSET,2,3,473.42,DRIVE-14S(144.88); DRIVE-21S(184.68); DRIVE-SS(143.86)
CRANKSET,2,4,418.32,DRIVE-14S(164.27); DRIVE-21S(184.68); DRIVE-SS(69.38)
CRANKSET,2,5,391.8,DRIVE-14S(167.33); DRIVE-21S(184.68); DRIVE-SS(39.79)
CRANKSET,2,6,586.67,DRIVE-14S(165.29); DRIVE-21S(184.68); DRIVE-SS(236.71)
CRANKSET,2,7,411.18,DRIVE-14S(146.92); DRIVE-21S(184.68); DRIVE-SS(79.58)
CRANKSET,2,8,476.48,DRIVE-14S(133.66); DRIVE-21S(184.68); DRIVE-SS(158.15)
CRANKSET,2,9,464.24,DRIVE-14S(121.42); DRIVE-21S(184.68); DRIVE-SS(158.15)
CRANKSET,2,10,294.87,DRIVE-14S(110.19); DRIVE-21S(184.68)
CRANKSET,2,11,603.0,DRIVE-14S(102.03); DRIVE-21S(184.68); DRIVE-SS(316.29)
CRANKSET,2,12,294.87,DRIVE-14S(110.19); DRIVE-21S(184.68)
DERAILLEUR,2,2,59.18,DRIVE-14S(16.32); DRIVE-21S(42.85)
DERAILLEUR,2,3,329.56,DRIVE-14S(144.88); DRIVE-21S(184.68)
DERAILLEUR,2,4,348.94,DRIVE-14S(164.27); DRIVE-21S(184.68)
DERAILLEUR,2,5,352.0,DRIVE-14S(167.33); DRIVE-21S(184.68)
DERAILLEUR,2,6,349.96,DRIVE-14S(165.29); DRIVE-21S(184.68)
DERAILLEUR,2,7,331.6,DRIVE-14S(146.92); DRIVE-21S(184.68)
DERAILLEUR,2,8,318.33,DRIVE-14S(133.66); DRIVE-21S(184.68)
DERAILLEUR,2,9,306.09,DRIVE-14S(121.42); DRIVE-21S(184.68)
DERAILLEUR,2,10,294.87,DRIVE-14S(110.19); DRIVE-21S(184.68)
DERAILLEUR,2,11,286.71,DRIVE-14S(102.03); DRIVE-21S(184.68)
DERAILLEUR,2,12,294.87,DRIVE-14S(110.19); DRIVE-21S(184.68)
HUB-STD,2,2,877.46,WHEEL-20(759.11); WHEEL-26(85.71); WHEEL-700C(32.65)
HUB-STD,2,3,946.84,WHEEL-20(287.73); WHEEL-26(369.35); WHEEL-700C(289.77)
HUB-STD,2,4,836.65,WHEEL-20(138.76); WHEEL-26(369.35); WHEEL-700C(328.54)
HUB-STD,2,5,783.59,WHEEL-20(79.58); WHEEL-26(369.35); WHEEL-700C(334.66)
HUB-STD,2,6,1173.35,WHEEL-20(473.42); WHEEL-26(369.35); WHEEL-700C(330.58)
HUB-STD,2,7,822.37,WHEEL-20(159.17); WHEEL-26(369.35); WHEEL-700C(293.85)
HUB-STD,2,8,952.96,WHEEL-20(316.29); WHEEL-26(369.35); WHEEL-700C(267.32)
HUB-STD,2,9,928.48,WHEEL-20(316.29); WHEEL-26(369.35); WHEEL-700C(242.83)
HUB-STD,2,10,589.74,WHEEL-26(369.35); WHEEL-700C(220.39)
HUB-STD,2,11,1206.0,WHEEL-20(632.59); WHEEL-26(369.35); WHEEL-700C(204.06)
HUB-STD,2,12,589.74,WHEEL-26(369.35); WHEEL-700C(220.39)
PAINT-PWD,2,2,119.62,FRAME-KIDS(98.88); FRAME-MTB(15.63); FRAME-ROAD(5.1)
PAINT-PWD,2,3,150.13,FRAME-KIDS(37.48); FRAME-MTB(67.36); FRAME-ROAD(45.3)
PAINT-PWD,2,4,136.79,FRAME-KIDS(18.08); FRAME-MTB(67.36); FRAME-ROAD(51.36)
PAINT-PWD,2,5,130.04,FRAME-KIDS(10.37); FRAME-MTB(67.36); FRAME-ROAD(52.31)
PAINT-PWD,2,6,180.7,FRAME-KIDS(61.67); FRAME-MTB(67.36); FRAME-ROAD(51.67)
PAINT-PWD,2,7,134.02,FRAME-KIDS(20.73); FRAME-MTB(67.36); FRAME-ROAD(45.93)
PAINT-PWD,2,8,150.35,FRAME-KIDS(41.2); FRAME-MTB(67.36); FRAME-ROAD(41.79)
PAINT-PWD,2,9,146.52,FRAME-KIDS(41.2); FRAME-MTB(67.36); FRAME-ROAD(37.96)
PAINT-PWD,2,10,101.81,FRAME-MTB(67.36); FRAME-ROAD(34.45)
PAINT-PWD,2,11,181.66,FRAME-KIDS(82.4); FRAME-MTB(67.36); FRAME-ROAD(31.9)
PAINT-PWD,2,12,101.81,FRAME-MTB(67.36); FRAME-ROAD(34.45)
RIM-20,2,2,759.11,WHEEL-20(759.11)
RIM-20,2,3,287.73,WHEEL-20(287.73)
RIM-20,2,4,138.76,WHEEL-20(138.76)
RIM-20,2,5,79.58,WHEEL-20(79.58)
RIM-20,2,6,473.42,WHEEL-20(473.42)
RIM-20,2,7,159.17,WHEEL-20(159.17)
RIM-20,2,8,316.29,WHEEL-20(316.29)
RIM-20,2,9,316.29,WHEEL-20(316.29)
RIM-20,2,11,632.59,WHEEL-20(632.59)
RIM-26,2,2,85.71,WHEEL-26(85.71)
RIM-26,2,3,369.35,WHEEL-26(369.35)
RIM-26,2,4,369.35,WHEEL-26(369.35)
RIM-26,2,5,369.35,WHEEL-26(369.35)
RIM-26,2,6,369.35,WHEEL-26(369.35)
RIM-26,2,7,369.35,WHEEL-26(369.35)
RIM-26,2,8,369.35,WHEEL-26(369.35)
RIM-26,2,9,369.35,WHEEL-26(369.35)
RIM-26,2,10,369.35,WHEEL-26(369.35)
RIM-26,2,11,369.35,WHEEL-26(369.35)
RIM-26,2,12,369.35,WHEEL-26(369.35)
RIM-700C,2,2,32.65,WHEEL-700C(32.65)
RIM-700C,2,3,289.77,WHEEL-700C(289.77)
RIM-700C,2,4,328.54,WHEEL-700C(328.54)
RIM-700C,2,5,334.66,WHEEL-700C(334.66)
RIM-700C,2,6,330.58,WHEEL-700C(330.58)
RIM-700C,2,7,293.85,WHEEL-700C(293.85)
RIM-700C,2,8,267.32,WHEEL-700C(267.32)
RIM-700C,2,9,242.83,WHEEL-700C(242.83)
RIM-700C,2,10,220.39,WHEEL-700C(220.39)
RIM-700C,2,11,204.06,WHEEL-700C(204.06)
RIM-700C,2,12,220.39,WHEEL-700C(220.39)
SPOKE,2,2,25558.68,WHEEL-20(21693.22); WHEEL-26(2799.13); WHEEL-700C(1066.33)
SPOKE,2,3,29749.04,WHEEL-20(8222.43); WHEEL-26(12062.9); WHEEL-700C(9463.71)
SPOKE,2,4,26758.3,WHEEL-20(3965.43); WHEEL-26(12062.9); WHEEL-700C(10729.98)
SPOKE,2,5,25267.1,WHEEL-20(2274.29); WHEEL-26(12062.9); WHEEL-700C(10929.92)
SPOKE,2,6,36388.63,WHEEL-20(13529.11); WHEEL-26(12062.9); WHEEL-700C(10796.63)
SPOKE,2,7,26208.48,WHEEL-20(4548.58); WHEEL-26(12062.9); WHEEL-700C(9597.0)
SPOKE,2,8,29832.34,WHEEL-20(9038.84); WHEEL-26(12062.9); WHEEL-700C(8730.61)
SPOKE,2,9,29032.59,WHEEL-20(9038.84); WHEEL-26(12062.9); WHEEL-700C(7930.85)
SPOKE,2,10,19260.65,WHEEL-26(12062.9); WHEEL-700C(7197.75)
SPOKE,2,11,36805.17,WHEEL-20(18077.68); WHEEL-26(12062.9); WHEEL-700C(6664.58)
SPOKE,2,12,19260.65,WHEEL-26(12062.9); WHEEL-700C(7197.75)
TUBESET-KIDS,2,2,383.43,FRAME-KIDS(383.43)
TUBESET-KIDS,2,3,145.33,FRAME-KIDS(145.33)
TUBESET-KIDS,2,4,70.09,FRAME-KIDS(70.09)
TUBESET-KIDS,2,5,40.2,FRAME-KIDS(40.2)
TUBESET-KIDS,2,6,239.13,FRAME-KIDS(239.13)
TUBESET-KIDS,2,7,80.4,FRAME-KIDS(80.4)
TUBESET-KIDS,2,8,159.76,FRAME-KIDS(159.76)
TUBESET-KIDS,2,9,159.76,FRAME-KIDS(159.76)
TUBESET-KIDS,2,11,319.52,FRAME-KIDS(319.52)
TUBESET-MTB,2,2,43.29,FRAME-MTB(43.29)
TUBESET-MTB,2,3,186.56,FRAME-MTB(186.56)
TUBESET-MTB,2,4,186.56,FRAME-MTB(186.56)
TUBESET-MTB,2,5,186.56,FRAME-MTB(186.56)
TUBESET-MTB,2,6,186.56,FRAME-MTB(186.56)
TUBESET-MTB,2,7,186.56,FRAME-MTB(186.56)
TUBESET-MTB,2,8,186.56,FRAME-MTB(186.56)
TUBESET-MTB,2,9,186.56,FRAME-MTB(186.56)
TUBESET-MTB,2,10,186.56,FRAME-MTB(186.56)
TUBESET-MTB,2,11,186.56,FRAME-MTB(186.56)
TUBESET-MTB,2,12,186.56,FRAME-MTB(186.56)
TUBESET-ROAD,2,2,16.49,FRAME-ROAD(16.49)
TUBESET-ROAD,2,3,146.36,FRAME-ROAD(146.36)
TUBESET-ROAD,2,4,165.95,FRAME-ROAD(165.95)
TUBESET-ROAD,2,5,169.04,FRAME-ROAD(169.04)
TUBESET-ROAD,2,6,166.98,FRAME-ROAD(166.98)
TUBESET-ROAD,2,7,148.42,FRAME-ROAD(148.42)
TUBESET-ROAD,2,8,135.02,FRAME-ROAD(135.02)
TUBESET-ROAD,2,9,122.66,FRAME-ROAD(122.66)
TUBESET-ROAD,2,10,111.32,FRAME-ROAD(111.32)
TUBESET-ROAD,2,11,103.07,FRAME-ROAD(103.07)
TUBESET-ROAD,2,12,111.32,FRAME-ROAD(111.32)
TYRE-20,2,2,759.11,WHEEL-20(759.11)
TYRE-20,2,3,287.73,WHEEL-20(287.73)
TYRE-20,2,4,138.76,WHEEL-20(138.76)
TYRE-20,2,5,79.58,WHEEL-20(79.58)
TYRE-20,2,6,473.42,WHEEL-20(473.42)
TYRE-20,2,7,159.17,WHEEL-20(159.17)
TYRE-20,2,8,316.29,WHEEL-20(316.29)
TYRE-20,2,9,316.29,WHEEL-20(316.29)
TYRE-20,2,11,632.59,WHEEL-20(632.59)
TYRE-26,2,2,85.71,WHEEL-26(85.71)
TYRE-26,2,3,369.35,WHEEL-26(369.35)
TYRE-26,2,4,369.35,WHEEL-26(369.35)
TYRE-26,2,5,369.35,WHEEL-26(369.35)
TYRE-26,2,6,369.35,WHEEL-26(369.35)
TYRE-26,2,7,369.35,WHEEL-26(369.35)
TYRE-26,2,8,369.35,WHEEL-26(369.35)
TYRE-26,2,9,369.35,WHEEL-26(369.35)
TYRE-26,2,10,369.35,WHEEL-26(369.35)
TYRE-26,2,11,369.35,WHEEL-26(369.35)
TYRE-26,2,12,369.35,WHEEL-26(369.35)
TYRE-700C,2,2,32.65,WHEEL-700C(32.65)
TYRE-700C,2,3,289.77,WHEEL-700C(289.77)
TYRE-700C,2,4,328.54,WHEEL-700C(328.54)
TYRE-700C,2,5,334.66,WHEEL-700C(334.66)
TYRE-700C,2,6,330.58,WHEEL-700C(330.58)
TYRE-700C,2,7,293.85,WHEEL-700C(293.85)
TYRE-700C,2,8,267.32,WHEEL-700C(267.32)
TYRE-700C,2,9,242.83,WHEEL-700C(242.83)
TYRE-700C,2,10,220.39,WHEEL-700C(220.39)
TYRE-700C,2,11,204.06,WHEEL-700C(204.06)
TYRE-700C,2,12,220.39,WHEEL-700C(220.39)
ALU-TUBE-STK,3,2,274.13,TUBESET-MTB(193.42); TUBESET-ROAD(80.7)
ALU-TUBE-STK,3,3,1549.8,TUBESET-MTB(833.56); TUBESET-ROAD(716.24)
ALU-TUBE-STK,3,4,1645.64,TUBESET-MTB(833.56); TUBESET-ROAD(812.07)
ALU-TUBE-STK,3,5,1660.77,TUBESET-MTB(833.56); TUBESET-ROAD(827.2)
ALU-TUBE-STK,3,6,1650.68,TUBESET-MTB(833.56); TUBESET-ROAD(817.12)
ALU-TUBE-STK,3,7,1559.89,TUBESET-MTB(833.56); TUBESET-ROAD(726.33)
ALU-TUBE-STK,3,8,1494.32,TUBESET-MTB(833.56); TUBESET-ROAD(660.75)
ALU-TUBE-STK,3,9,1433.79,TUBESET-MTB(833.56); TUBESET-ROAD(600.23)
ALU-TUBE-STK,3,10,1378.31,TUBESET-MTB(833.56); TUBESET-ROAD(544.74)
ALU-TUBE-STK,3,11,1337.96,TUBESET-MTB(833.56); TUBESET-ROAD(504.39)
ALU-TUBE-STK,3,12,1378.31,TUBESET-MTB(833.56); TUBESET-ROAD(544.74)
STL-TUBE-STK,3,2,1386.86,TUBESET-KIDS(1386.86)
STL-TUBE-STK,3,3,525.66,TUBESET-KIDS(525.66)
STL-TUBE-STK,3,4,253.51,TUBESET-KIDS(253.51)
STL-TUBE-STK,3,5,145.4,TUBESET-KIDS(145.4)
STL-TUBE-STK,3,6,864.92,TUBESET-KIDS(864.92)
STL-TUBE-STK,3,7,290.79,TUBESET-KIDS(290.79)
STL-TUBE-STK,3,8,577.86,TUBESET-KIDS(577.86)
STL-TUBE-STK,3,9,577.86,TUBESET-KIDS(577.86)
STL-TUBE-STK,3,11,1155.72,TUBESET-KIDS(1155.72)
